Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate
19573,Adversaries,Richard Bosman,689.0,1981,Oil on canvas,"6' 1/8"" x 42"" (183 x 106.6 cm)",Gift of Mr. and Mrs. Carl D. Lobell,99.1982,Painting,Painting & Sculpture,1982-04-06,Y,78769,,,,183.0,,,106.6,,"Australian, born India 1944",Australian,Male,1944.0,0.0
19574,Number 11: A Presence,Richard Pousette-Dart,4716.0,1949,Oil on canvas,"25 1/8 x 21 1/8"" (63.8 x 53.7 cm)",Katharine Cornell Fund,100.1950,Painting,Painting & Sculpture,1950-04-24,Y,78772,,,,63.8,,,53.7,,"American, 1916–1992",American,Male,1916.0,1992.0
19575,"Fishing Boats, Collioure",André Derain,1500.0,1905,Oil on canvas,"15 1/8 x 18 1/4"" (38.2 x 46.3 cm)",The Philip L. Goodwin Collection,100.1958,Painting,Painting & Sculpture,1958-10-29,Y,78773,,,,38.2,,,46.3,,"French, 1880–1954",French,Male,1880.0,1954.0
19576,That Which Will Be,Joan Josep Tharrats,5844.0,1961,Mixed media on canvas,"51 1/4 x 38 1/8"" (130 x 96.8 cm)",Gift of Mr. and Mrs. Gustav P. Heller,100.1961,Painting,Painting & Sculpture,1961-03-07,N,78774,,,,130.0,,,96.8,,"Spanish, 1918–2001",Spanish,Male,1918.0,2001.0
19577,The Last Haitian Night of King Christophe,Eugene Fernandez Granell,2291.0,1960,Oil on canvas,"30 1/8 x 42 1/8"" (76.3 x 107 cm)",Gift of Mr. and Mrs. Raymond J. Braun,100.1962,Painting,Painting & Sculpture,1962-03-06,Y,78775,,,,76.3,,,107.0,,"Spanish, 1912–2001",Spanish,Male,1912.0,2001.0
19578,"Towards Disappearance, II",Sam Francis,1965.0,Paris 1957-58,Oil on canvas,"9' 1/2"" x 10' 5 7/8"" (275.6 x 319.7 cm)",Blanchette Hooker Rockefeller Fund,100.1976,Painting,Painting & Sculpture,1976-03-09,Y,78776,,,,275.6,,,319.7,,"American, 1923–1994",American,Male,1923.0,1994.0
19579,Hands,David Alfaro Siqueiros,5454.0,1949,Enamel on board,"48 1/8 x 39 3/8"" (122.2 x 100 cm)",Gift of Henry R. Luce,101.1950,Painting,Painting & Sculpture,1950-04-24,Y,78778,,,,122.2,,,100.0,,"Mexican, 1896–1974",Mexican,Male,1896.0,1974.0
19580,The Intellectual,Arthur Dove,1602.0,1925,"Wood box with magnifying glass, bone, moss, bark, and a scale on varnished cloth mounted on wood","17 x 7 1/8"" (43 x 18.2 cm)",The Philip L. Goodwin Collection,101.1958,Painting,Painting & Sculpture,1958-10-29,Y,78779,,,,43.0,,,18.2,,"American, 1880–1946",American,Male,1880.0,1946.0
19581,Dinnertime,Édouard Vuillard,6194.0,c. 1889,Oil on canvas,"28 1/4 x 36 3/8"" (71.8 x 92.2 cm)",Gift of Mr. and Mrs. Sam Salz and an anonymous donor,101.1961,Painting,Painting & Sculpture,1961-03-07,Y,78780,,,,71.8,,,92.2,,"French, 1868–1940",French,Male,1868.0,1940.0
19582,Sherwin Williams Chevy,Ralph Goings,2209.0,1975,Oil on canvas,"43 7/8 x 62"" (111.5 x 157.5 cm)",Purchased with the aid of funds from the National Endowment for the Arts and an anonymous donor,101.1976,Painting,Painting & Sculpture,1976-03-09,Y,78781,,,,111.5,,,157.5,,"American, born 1928",American,Male,1928.0,0.0
19583,Childbirth,Jean Dubuffet,1633.0,March 1944,Oil on canvas,"39 3/8 x 31 3/4"" (99.8 x 80.8 cm)",Gift of Pierre Matisse in memory of Patricia Kane Matisse,101.1982,Painting,Painting & Sculpture,1982-04-06,Y,78782,,,,99.8,,,80.8,,"French, 1901–1985",French,Male,1901.0,1985.0
19584,Figure in Rain,Rico Lebrun,3447.0,1949,Enamel on canvas over board,"48 x 30 1/8"" (121.9 x 76.5 cm)",Gift of Mrs. Robert Woods Bliss,102.1950,Painting,Painting & Sculpture,1950-04-24,Y,78783,,,,121.9,,,76.5,,"American, born Italy. 1900–1964",American,Male,1900.0,1964.0
19585,"My Grandparents, My Parents, and I (Family Tree)",Frida Kahlo,2963.0,1936,Oil and tempera on zinc,"12 1/8 x 13 5/8"" (30.7 x 34.5 cm)","Gift of Allan Roos, M. D., and B. Mathieu Roos",102.1976,Painting,Painting & Sculpture,1976-03-09,Y,78784,,,,30.7,,,34.5,,"Mexican, 1907–1954",Mexican,Female,1907.0,1954.0
19586,Road near L'Estaque,Georges Braque,744.0,"L'Estaque, late summer 1908",Oil on canvas,"23 3/4 x 19 3/4"" (60.3 x 50.2 cm)",Given anonymously (by exchange),103.1943,Painting,Painting & Sculpture,1943-05-21,Y,78787,,,,60.3,,,50.2,,"French, 1882–1963",French,Male,1882.0,1963.0
19587,Contrast of Forms,Fernand Léger,6624.0,1913,Oil on canvas,"39 1/2 x 32"" (100.3 x 81.1 cm)",The Philip L. Goodwin Collection,103.1958,Painting,Painting & Sculpture,1958-10-29,Y,78788,,,,100.3,,,81.1,,"French, 1881–1955",French,Male,1881.0,1955.0
19588,The Kill,André Masson,3821.0,1944,Oil on canvas,"21 3/4 x 26 3/4"" (55.2 x 67.9 cm)",Gift of the artist,103.1976,Painting,Painting & Sculpture,1976-03-09,Y,78790,,,,55.2,,,67.9,,"French, 1896–1987",French,Male,1896.0,1987.0
19589,"Untitled [Suite ""Blancs""]",Simon Hantaï,2495.0,1973,Acrylic on canvas,"10' 1/4"" x 15' 3 1/4"" (305.3 x 466.5 cm)",Acquired through the Carol Buttenwieser Loeb and Arnold A. Saltzman Funds,103.1982.a-b,Painting,Painting & Sculpture,1982-04-06,Y,78791,,,,305.3,,,466.5,,"French, born Hungary. 1922–2008",Hungarian,Male,1922.0,2008.0
19590,Fallen Angel,Paul Burlin,876.0,1943,Oil on canvas,"13 x 16 1/8"" (32.8 x 40.8 cm)",Purchase,104.1943,Painting,Painting & Sculpture,1943-05-21,Y,78792,,,,32.8,,,40.8,,"American, 1886–1969",American,Male,1886.0,1969.0
19591,"Double Metamorphosis, II",Agam (Yaacov Agam),79.0,1964,Oil on corrugated aluminum,"8' 10"" x 13' 2 1/4"" (269.2 x 401.8 cm)",Gift of Mr. and Mrs. George M. Jaffin,104.1965.a-k,Painting,Painting & Sculpture,1965-03-09,Y,78793,,,,269.2,,,401.8,,"Israeli, born 1928",Israeli,Male,1928.0,0.0
19592,The Princess,Leonard French,1991.0,1965,"Enamel and gold leaf, copper panels, and burlap collage on burlap mounted on board","48 1/4 x 60"" (122.4 x 152.2 cm)",Gift of Mr. and Mrs. David Rockefeller,104.1966,Painting,Painting & Sculpture,1966-01-11,Y,78794,,,,122.4,,,152.2,,"Australian, born 1928",Australian,Male,1928.0,0.0
19593,The Big N,Al Held,2583.0,1964,Synthetic polymer paint on canvas,"9' 3/8"" x 9' (275.2 x 274.3 cm)",Mrs. Armand P. Bartos Fund,104.1973,Painting,Painting & Sculpture,1973-02-13,Y,78795,,,,275.2,,,274.3,,"American, 1928–2005",American,Male,1928.0,2005.0
19594,Between the Clock and the Bed,Jasper Johns,2923.0,1981,"Encaustic on canvas, three panels","6' 1/8"" x 10' 6 3/8"" (183.2 x 321 cm)",Gift of Agnes Gund,104.1982.a-c,Painting,Painting & Sculpture,1981-11-17,Y,78797,,,,183.4,,,320.9931,,"American, born 1930",American,Male,1930.0,0.0
19596,"""#7 - 1967""",Peter Young,6522.0,1967,Synthetic polymer paint on canvas,9' x 9' (274.5 x 274.5 cm),Gift of Philip Johnson,105.1976,Painting,Painting & Sculpture,1976-03-09,Y,78799,,,,274.5,,,274.5,,"American, born 1940",American,Male,1940.0,0.0
19597,Untitled,Donald Judd,2948.0,1961,Acrylic and sand on board,"72 x 47 7/8"" (183 x 121.7 cm)",Gift of Leo Castelli,105.1982,Painting,Painting & Sculpture,1982-04-06,Y,78800,,,,182.9,,,121.6,,"American, 1928–1994",American,Male,1928.0,1994.0
19598,The Rape,Pablo Picasso,4609.0,"Juan-les-Pins, 1920",Tempera on wood,"9 3/8 x 12 7/8"" (23.8 x 32.6 cm)",The Philip L. Goodwin Collection,106.1958,Painting,Painting & Sculpture,1958-10-29,Y,78802,,,,23.8,,,32.6,,"Spanish, 1881–1973",Spanish,Male,1881.0,1973.0
19599,Equivocation,Ben Cunningham (Benjamin Frazier Cunningham),1333.0,1964,Acrylic on board,"26 x 26"" (65.9 x 65.9 cm)",Larry Aldrich Foundation Fund,106.1965,Painting,Painting & Sculpture,1965-03-09,Y,78803,,,,65.9,,,65.9,,"American, 1904–1975",American,Male,1904.0,1975.0
19600,Flag,Jasper Johns,2923.0,1954-55  (dated on reverse 1954),"Encaustic, oil, and collage on fabric mounted on plywood, three panels","42 1/4 x 60 5/8"" (107.3 x 153.8 cm)","Gift of Philip Johnson in honor of Alfred H. Barr, Jr.",106.1973,Painting,Painting & Sculpture,1973-02-13,Y,78805,,,,107.3,,,153.8,,"American, born 1930",American,Male,1930.0,0.0
19601,Castle Garden,Paul Klee,3130.0,1931,Oil on canvas,"26 1/2 x 21 5/8"" (67.2 x 54.9 cm)",Sidney and Harriet Janis Collection Fund,106.1982,Painting,Painting & Sculpture,1982-04-06,Y,78806,,,,67.2,,,54.9,,"German, born Switzerland. 1879–1940",German,Male,1879.0,1940.0
19602,Hand of Mercy,Piero Dorazio,1587.0,1963,Oil on canvas,"64 1/8 x 51 3/8"" (162.6 x 130.3 cm)",Bertram F. and Susie Brummer Foundation Fund,107.1965,Painting,Painting & Sculpture,1965-03-09,Y,78807,,,,162.6,,,130.3,,"Italian, 1927–2005",Italian,Male,1927.0,2005.0
19603,Family Circle,Ronald Markman,3779.0,1965,Synthetic polymer paint on canvas,"48 7/8 x 56 1/2"" (124 x 143.4 cm)",Larry Aldrich Foundation Fund,107.1966,Painting,Painting & Sculpture,1966-01-11,Y,78808,,,,124.0,,,143.4,,"American, born 1931",American,Male,1931.0,0.0
19604,Untitled,Franz Kline,3148.0,spring 1959,Oil on glass,"46 1/8 x 46 1/8"" (117.0 x 117.0 cm)",Gift of Dorothy Seiberling,107.1973,Painting,Painting & Sculpture,1973-02-13,N,78809,,,,117.2,,,117.2,,"American, 1910–1962",American,Male,1910.0,1962.0
19605,Pirate (Untitled II),Willem de Kooning,3213.0,1981,Oil on canvas,"7' 4"" x 6' 4 3/4"" (223.4 x 194.4 cm)",Sidney and Harriet Janis Collection Fund,107.1982,Painting,Painting & Sculpture,1982-04-06,Y,78810,,,,223.4,,,194.4,,"American, born the Netherlands. 1904–1997",American,Male,1904.0,1997.0
19606,Elizabeth,Chuck Close,1156.0,1989,Oil on canvas,"6' x 60"" (183 x 152.5 cm)",Gift of Anna Marie and Robert F. Shapiro,107.1990,Painting,Painting & Sculpture,1990-03-12,Y,78811,,,,182.9,,,152.4,,"American, born 1940",American,Male,1940.0,0.0
19607,The Senate,William Gropper,2360.0,1935,Oil on canvas,"25 1/8 x 33 1/8"" (63.8 x 84.2 cm)",Gift of A. Conger Goodyear,108.1936,Painting,Painting & Sculpture,1936-12-17,Y,78812,,,,63.8,,,84.2,,"American, 1897–1977",American,Male,1897.0,1977.0
19608,Actress Dressing,Eugenie Baizerman,291.0,1945,Oil on canvas,"45 5/8 x 34"" (115.7 x 86.3 cm)",Gift of Mr. and Mrs. Ralph F. Colin,108.1961,Painting,Painting & Sculpture,1961-04-11,Y,78813,,,,115.7,,,86.3,,"American, born Poland. 1899–1949",American,Female,1899.0,1949.0
19609,White Quipus,Jorge Eielson,1698.0,1964,Cloth and tempera on canvas,"37 1/2 x 59 1/8"" (95 x 150.2 cm)",Inter-American Fund,108.1965,Painting,Painting & Sculpture,1965-03-09,Y,78814,,,,95.2,,,150.2,,"Peruvian, 1924–2006",Peruvian,Male,1924.0,2006.0
19610,14th Street Series Number 9,Mark Lancaster,3354.0,1972,Synthetic polymer paint on canvas,"34 1/4 x 50 1/4"" (86.8 x 127.3 cm)",Gift of Mrs. McFadden Staempfli,108.1973,Painting,Painting & Sculpture,1973-02-13,Y,78815,,,,87.0,,,127.6,,"British, born 1938",British,Male,1938.0,0.0
19611,Evening Song,Robert Kushner,3317.0,1981,Synthetic polymer paint with bronze powder and cloth appliqué on canvas,"8' 8 5/8"" x 14' 5 5/8"" (265.6 x 441 cm)",Acquired through the Bequest of Joy E. Feinberg,108.1982,Painting,Painting & Sculpture,1982-04-06,Y,78816,,,,265.6,,,441.0,,"American, born 1949",American,Male,1949.0,0.0
19612,Gourds,Henri Matisse,3832.0,"Issy-les-Moulineaux, 1915-16 (dated on painting 1916)",Oil on canvas,"25 5/8 x 31 7/8"" (65.1 x 80.9 cm)",Mrs. Simon Guggenheim Fund,109.1935,Painting,Painting & Sculpture,1935-06-13,Y,78817,,,,65.1,,,80.9,,"French, 1869–1954",French,Male,1869.0,1954.0
19613,Pomegranate,Pamela Bianco,546.0,1957-59,Oil and gold leaf on canvas,"30 1/8 x 24"" (76.3 x 60.9 cm)",Larry Aldrich Foundation Fund,109.1961,Painting,Painting & Sculpture,1961-04-11,Y,78819,,,,76.3,,,60.9,,"American, born England. 1906–1994",American,Female,1906.0,1994.0
19614,The Ohio Gang,R. B. Kitaj,3121.0,1964,Oil and graphite on canvas,"6' 1/8"" x 6' 1/4"" (183.1 x 183.5 cm)",Philip Johnson Fund,109.1965,Painting,Painting & Sculpture,1965-03-09,Y,78820,,,,183.1,,,183.5,,"American, 1932–2007",American,Male,1932.0,2007.0
19615,Mao,Sigmar Polke,4671.0,1972,Synthetic polymer paint on patterned fabric mounted on felt with a wood dowel rod,"142 3/4"" x 122 1/2"" (362.6 x 311.2 cm), rod 145 3/4"" (370.2 cm) long",Kay Sage Tanguy Fund,109.1982.a-b,Painting,Painting & Sculpture,1982-04-06,Y,78821,,,,362.58572517150003,,,311.1506223012,,"German, 1941–2010",German,Male,1941.0,2010.0
19616,The Unity of Life and Death,Otto Freundlich,1996.0,1936-38,Oil on canvas,"46 1/2 x 35 1/2"" (118 x 90.2 cm)","Lydia Winston Malbin Bequest in memory of Alfred H. Barr, Jr.",109.1990,Painting,Painting & Sculpture,1990-03-12,Y,78822,,,,118.1,,,90.2,,"German, 1878–1943",German,Male,1878.0,1943.0
19617,Gourds,Seiji Chokai,1109.0,1950,Oil on canvas,"25 5/8 x 21"" (65.1 x 53.4 cm)",Blanchette Hooker Rockefeller Fund,110.1958,Painting,Painting & Sculpture,1958-10-29,Y,78823,,,,65.1,,,53.4,,"Japanese, 1902–1972",Japanese,Male,1902.0,1972.0
19618,The Open Scene,Jane Wilson,6388.0,1960,Oil on canvas,"60 3/8 x 6' 8"" (153.3 x 203.1 cm)",Given anonymously,110.1960,Painting,Painting & Sculpture,1960-05-02,Y,78824,,,,153.3,,,203.1,,"American, 1924–2015",American,Female,1924.0,2015.0
19619,Broken Blossom,Gandy Brodie,787.0,1960,Oil on canvas,"25 5/8 x 36 3/8"" (65.1 x 92.3 cm)",Purchase and exchange,110.1961,Painting,Painting & Sculpture,1961-04-11,Y,78825,,,,65.1,,,92.3,,"American, 1925–1975",American,Male,1925.0,1975.0
19620,Tragic Space,Karel Appel,203.0,1959,Oil on canvas,"45 1/8 x 59 1/8"" (114.6 x 150.2 cm)",Gift of Mr. and Mrs. Edward J. Mathews,110.1975,Painting,Painting & Sculpture,1975-04-01,Y,78827,,,,114.6,,,150.2,,"Dutch, 1921–2006",Dutch,Male,1921.0,2006.0
19621,Dis Pair,Elizabeth Murray,4185.0,fall 1989 - winter 1990,"Oil and plastic cap on canvas and wood, two parts","10' 2 1/2"" x 10' 9 1/4"" x 13"" (331.3 x 328.3 x 33 cm)","Gift of Marcia Riklis, Arthur Fleischer, Jr., and Anna Marie and Robert F. Shapiro; Blanchette Hooker Rockefeller Fund; and purchase",110.1990.a-b,Painting,Painting & Sculpture,1990-03-12,Y,78828,,,,311.1,,,328.3,,"American, 1940–2007",American,Female,1940.0,2007.0
19622,Figure,André Masson,3821.0,1926-27,Oil and sand on canvas,"18 1/8 x 10 1/2"" (46.1 x 26.9 cm)",Gift of William Rubin,111.1973,Painting,Painting & Sculpture,1973-02-13,Y,78832,,,,46.1,,,26.9,,"French, 1896–1987",French,Male,1896.0,1987.0
19623,Napalm Elegy TA 3,Rudolf Baranik,324.0,1973,Oil and collage on board,"48 x 47 3/4"" (121.9 x 121.3 cm)",Gift of Mr. and Mrs. David Stulberg,111.1975,Painting,Painting & Sculpture,1975-04-01,Y,78833,,,,121.9,,,121.3,,"American, 1920–1998",American,Male,1920.0,1998.0
19624,The Evil Genius of a King,Giorgio de Chirico,1106.0,Paris 1914-15,Oil on canvas,"24 x 19 3/4"" (61 x 50.2 cm)",Purchase,112.1936,Painting,Painting & Sculpture,1936-12-17,Y,78834,,,,61.0,,,50.2,,"Italian, born Greece. 1888–1978",Italian,Male,1888.0,1978.0
19625,Separate Objects,Zbigniew Makowski,3706.0,1963,Oil on canvas,"32 x 39 3/8"" (81.3 x 100 cm)",Gift of Mr. and Mrs. M. A. Lipschultz,112.1965,Painting,Painting & Sculpture,1965-03-09,Y,78836,,,,81.3,,,100.0,,"Polish, born 1930",Polish,Male,1930.0,0.0
19626,Flowing Phalanx,Francis Celentano,1045.0,1965,Synthetic polymer paint on canvas,"34 1/8 x 46 1/8"" (86.5 x 117.1 cm)",Larry Aldrich Foundation Fund,112.1966,Painting,Painting & Sculpture,1966-01-11,Y,78837,,,,86.5,,,117.1,,"American, born 1928",American,Male,1928.0,0.0
19627,Cienfuegos,Gastone Novelli,4340.0,1968,"Oil, oil with pumice, ink, charcoal, and pencil on canvas","12' 6 1/4"" x 6' 7 1/8"" (351.1 x 201.2 cm)",Gift of Sra. Giovanola Ripandelli,112.1973,Painting,Painting & Sculpture,1973-02-13,Y,78838,,,,351.1,,,201.2,,"Italian, 1925–1968",Italian,Male,1925.0,1968.0
19628,"The Adieu, III",Ger van Elk,6079.0,1974,Gouache and ink on color photograph mounted to aluminum,"39 1/8 x 36 3/8 x 1 3/4"" (99.2 x 92.3 x 4.3 cm)",Purchase,112.1975,Painting,Painting & Sculpture,1975-04-01,Y,78839,,4.4,,99.2,,,92.3,,"Dutch, 1941–2014",Dutch,Male,1941.0,2014.0
19629,Non-Objective Painting,Aleksandr Rodchenko,4975.0,1919,Oil on canvas,"33 1/4 x 28"" (84.5 x 71.1 cm)","Gift of the artist, through Jay Leyda",113.1936,Painting,Painting & Sculpture,1936-12-17,Y,78840,,,,84.5,,,71.1,,"Russian, 1891–1956",Russian,Male,1891.0,1956.0
19630,The Silent Valley of Sunrise,Romare Bearden,412.0,1959,Oil and casein on canvas,"58 1/8 x 42"" (147.5 x 106.5 cm)",Given anonymously,113.1960,Painting,Painting & Sculpture,1960-05-26,Y,78841,,,,147.5,,,106.5,,"American, 1911–1988",American,Male,1911.0,1988.0
19631,Red Form on Red Background,Horia Damian,1369.0,1960,Mixed mediums on canvas,"57 1/2 x 51 1/8"" (145.9 x 129.8 cm)",Given anonymously,113.1961,Painting,Painting & Sculpture,1961-04-11,Y,78842,,,,145.9,,,129.8,,"French, born Romania 1922",French,Male,1922.0,0.0
19632,Iron Bridges at Asnières,Émile Bernard,511.0,1887,Oil on canvas,"18 1/8 x 21 3/8"" (45.9 x 54.2 cm)",Grace Rainey Rogers Fund,113.1962,Painting,Painting & Sculpture,1962-03-06,Y,78843,,,,45.9,,,54.2,,"French, 1868–1941",French,Male,1868.0,1941.0
19633,Duplex,Oli Sihvonen,5425.0,1963,Oil on canvas,"56 1/8 x 52"" (142.4 x 132 cm)",Larry Aldrich Foundation Fund,113.1965,Painting,Painting & Sculpture,1965-03-09,Y,78844,,,,142.4,,,132.0,,"American, 1921–1991",American,Male,1921.0,1991.0
19634,Untitled,Arnold Schmidt,5231.0,1965,Synthetic polymer paint on canvas,"48 1/8"" x 8' 1/8"" (122.1 x 244.1 cm)",Gift of Mr. and Mrs. Herbert C. Bernard,113.1966,Painting,Painting & Sculpture,1966-01-11,Y,78845,,,,122.1,,,244.1,,"American, 1930–1993",American,Male,1930.0,1993.0
19635,Willemite's Vision,Jules Olitski,4399.0,fall 1972,Synthetic polymer paint on canvas,"8' 2 1/2"" x 17' 5 1/8"" (250.2 x 531.1 cm)",Blanchette Hooker Rockefeller Fund (by exchange),113.1973,Painting,Painting & Sculpture,1973-02-13,Y,78846,,,,250.2,,,531.1,,"American, born Russia.1922–2007",American,Male,1922.0,2007.0
19636,Leonardo's Lady,Audrey Flack,1905.0,1974,Oil over synthetic polymer paint on canvas,"6' 2 x 6' 8"" (188 x 203.2 cm)",Purchased with the aid of funds from the National Endowment for the Arts and anonymous donor,113.1975,Painting,Painting & Sculpture,1975-04-01,Y,78847,,,,188.0,,,203.2,,"American, born 1931",American,Female,1931.0,0.0
19637,Non-Objective Painting no. 80 (Black on Black),Aleksandr Rodchenko,4975.0,1918,Oil and bitumen on canvas,"32 1/4 x 31 1/4"" (81.9 x 79.4 cm)","Gift of the artist, through Jay Leyda",114.1936,Painting,Painting & Sculpture,1936-12-17,Y,78848,,,,81.9,,,79.4,,"Russian, 1891–1956",Russian,Male,1891.0,1956.0
19638,Agony,Jorge Damiani,1370.0,1956,Oil on canvas,"6' 4 1/2"" x 47 1/4"" (194.3 x 120 cm)",Inter-American Fund,114.1958,Painting,Painting & Sculpture,1958-10-29,Y,78850,,,,194.3,,,120.0,,"Uruguayan, born Italy. 1931-2017",Uruguayan,Male,1931.0,2017.0
19639,Joë Bousquet in Bed,Jean Dubuffet,1633.0,January 1947,Oil emulsion in water on canvas,"57 5/8 x 44 7/8"" (146.3 x 114 cm)",Mrs. Simon Guggenheim Fund,114.1961,Painting,Painting & Sculpture,1961-04-11,Y,78851,,,,146.3,,,114.0,,"French, 1901–1985",French,Male,1901.0,1985.0
19640,When to Relax?,Roland Dorcély,1588.0,1958,Tempera on board,"36 x 49 1/4"" (91.5 x 125 cm)",Gift of Edna and Keith Warner,115.1958,Painting,Painting & Sculpture,1958-10-29,Y,78854,,,,91.5,,,125.0,,"Haitian, 1930–2017",Haitian,Male,1930.0,2017.0
19641,Business Prospers,Jean Dubuffet,1633.0,June 1961,Oil on canvas,"65 x 7'2 5/8"" (165.1 x 220 cm)",Mrs. Simon Guggenheim Fund,115.1962,Painting,Painting & Sculpture,1962-03-06,Y,78856,,,,165.1,,,220.0,,"French, 1901–1985",French,Male,1901.0,1985.0
19642,"Number 2, 1964",Walter Zehringer,6554.0,1964,Plexiglass with painted plastic over board,"31 5/8 x 31 5/8 x 1 1/2"" (80.1 x 80.1 x 3.9 cm)",Larry Aldrich Foundation Fund,115.1965,Painting,Painting & Sculpture,1965-03-09,Y,78857,,3.9,,80.1,,,80.1,,"German, born 1940",German,Male,1940.0,0.0
19643,The World Is a Story (Mundus est Fabula),Max Ernst,1752.0,Paris 1959,Oil on canvas,"51 1/4 x 64"" (130.1 x 162.5 cm)",Gift of the artist,116.1961,Painting,Painting & Sculpture,1961-04-11,Y,78858,,,,130.1,,,162.5,,"French and American, born Germany. 1891–1976",French,Male,1891.0,1976.0
19644,Studio with Plaster Head,Pablo Picasso,4609.0,"Juan-les-Pins, summer 1925",Oil on canvas,"38 5/8 x 51 5/8"" (97.9 x 131.1 cm)",Purchase,116.1964,Painting,Painting & Sculpture,1964-02-11,Y,78860,,,,97.9,,,131.1,,"Spanish, 1881–1973",Spanish,Male,1881.0,1973.0
19645,Folded,Robyn Denny,1495.0,1965,Oil on canvas,"6' 11 7/8"" x 6' (213 x 182.8 cm)",Blanchette Hooker Rockefeller Fund,116.1966,Painting,Painting & Sculpture,1966-02-08,Y,78861,,,,213.0,,,182.8,,"British, 1930–2014",British,Male,1930.0,2014.0
19646,Woman with Three Hairs Surrounded by Birds in the Night,Joan Miró,4016.0,"Palma, September 2, 1972",Oil on canvas,"7' 11 7/8"" x 66 1/2"" (243.5 x 168.9 cm)",Gift of the artist in honor of James Thrall Soby,116.1973,Painting,Painting & Sculpture,1973-02-13,Y,78862,,,,243.5,,,168.9,,"Spanish, 1893–1983",Spanish,Male,1893.0,1983.0
19647,View of Notre Dame,Henri Matisse,3832.0,"Paris, quai Saint-Michel, spring 1914",Oil on canvas,"58 x 37 1/8"" (147.3 x 94.3 cm)","Acquired through the Lillie P. Bliss Bequest (by exchange), and the Henry Ittleson, A. Conger Goodyear, Mr. and Mrs. Robert Sinclair Funds, and the Anna Erickson Levene Bequest given in memory of her husband, Dr. Phoebus Aaron Theodor Levene",116.1975,Painting,Painting & Sculpture,1975-04-01,Y,78863,,,,147.3,,,94.3,,"French, 1869–1954",French,Male,1869.0,1954.0
19648,Clockwork in the Sky,Alfred Jensen,2906.0,1959,Oil on canvas,"6' x 46 1/8"" (182.7 x 117 cm)",Gift of Henry Luce III,117.1960,Painting,Painting & Sculpture,1960-05-26,Y,78864,,,,182.7,,,117.0,,"American, born Guatemala of Danish parents. 1903–1981",American,Male,1903.0,1981.0
19649,"Torso, III",Leon Golub,2223.0,"December 3, 1960",Oil and lacquer on canvas,"63 1/8 x 39 1/4"" (160.2 x 99.6 cm)",Edward Joseph Gallagher 3rd Memorial Collection,117.1961,Painting,Painting & Sculpture,1961-04-11,Y,78865,,,,160.2,,,99.6,,"American, 1922–2004",American,Male,1922.0,2004.0
19650,The Red Baron,Nicholas Krushenick,3270.0,January 1967,Synthetic polymer paint on shaped canvas,"8' 1/8"" x 6' 3 1/4"" (244.2 x 191.1 cm)",Larry Aldrich Foundation Fund,117.1967,Painting,Painting & Sculpture,1967-05-09,Y,78867,,,,244.2,,,191.1,,"American, 1929–1999",American,Male,1929.0,1999.0
19652,In Black and White No. 2 (Africa),Robert Motherwell,4126.0,1975,Synthetic polymer paint on canvas,"6' 1/4"" x 13' 5"" (183.3 x 408.9 cm)",Given anonymously,117.1984,Painting,Painting & Sculpture,1984-03-20,Y,78870,,,,183.3,,,408.9,,"American, 1915–1991",American,Male,1915.0,1991.0
19653,Still Life and Landscape,Agustín Fernández,1854.0,1956,Oil on canvas,"48 x 55 1/8"" (122 x 140 cm)",Inter-American Fund,118.1958,Painting,Painting & Sculpture,1958-10-29,Y,78872,,,,122.0,,,140.0,,"Cuban, 1928–2006",Cuban,Male,1928.0,2006.0
19654,King Solomon's Ring,Ahmed Yacoubi,6476.0,1963,Oil on canvas,"28 3/4 x 23 1/2"" (73 x 59.6 cm)",Gift of Mrs. Raymond J. Braun and David Mann,118.1966,Painting,Painting & Sculpture,1966-02-08,Y,78875,,,,73.0,,,59.6,,"Moroccan and American, 1928–1985",Moroccan,Male,1928.0,1985.0
19655,"""#1 - 1966""",Peter Young,6522.0,1966,Synthetic polymer paint on canvas,"42 1/8"" x 9' 8 5/8"" (107 x 296.1 cm)",Gift of Philip Johnson,118.1975,Painting,Painting & Sculpture,1975-04-01,Y,78877,,,,107.0,,,296.1,,"American, born 1940",American,Male,1940.0,0.0
19656,Atoll Sun,Kenneth Noland,4326.0,1968,Synthetic polymer paint on canvas,"7' 6"" x 23' 11 7/8"" (228.5 x 731 cm)",Purchase and gift of Andre Emmerich and John Kasmin,118.1984,Painting,Painting & Sculpture,1984-03-20,Y,78878,,,,228.5,,,731.0,,"American, 1924–2010",American,Male,1924.0,2010.0
19657,The World Cow,Franz Marc,3748.0,1913,Oil on canvas,"27 7/8 x 55 5/8"" (70.7 x 141.3 cm)","Gift of Mr. and Mrs. Morton D. May, and Mr. and Mrs. Arnold H. Maremont (both by exchange)",118.1988,Painting,Painting & Sculpture,1988-04-11,Y,78879,,,,70.8,,,141.3,,"German, 1880–1916",German,Male,1880.0,1916.0
